time s (max+min)	omega rad/s	omegaC average (rad/s)	omegaC(t) rad/s	viscosity (Pa s)	viscosity average (Pas)
233.95	3.7825	0.13000	0.46164	8.9615	7.2073
234.87	3.7825	0.13000	0.16523	25.038	7.2073
235.66	3.7825	0.13000			7.2073
	3.7825	0.13000			7.2073
	3.7825	0.13000			7.2073
	3.7825	0.13000			7.2073
	3.7825	0.13000			7.2073
	3.7825	0.13000			7.2073
	3.7825	0.13000			7.2073
	3.7825	0.13000			7.2073
	3.7825	0.13000			7.2073
	3.7825	0.13000			7.2073
	3.7825	0.13000			7.2073
	3.7825	0.13000			7.2073
	3.7825	0.13000			7.2073
	3.7825	0.13000			7.2073
	3.7825	0.13000			7.2073
	3.7825	0.13000			7.2073
	3.7825	0.13000			7.2073
	3.7825	0.13000			7.2073
	3.7825	0.13000			7.2073
	3.7825	0.13000			7.2073
	3.7825	0.13000			7.2073
	3.7825	0.13000			7.2073
	3.7825	0.13000			7.2073
	3.7825	0.13000			7.2073
	3.7825	0.13000			7.2073
	3.7825	0.13000			7.2073
	3.7825	0.13000			7.2073
	3.7825	0.13000			7.2073
	3.7825	0.13000			7.2073
	3.7825	0.13000			7.2073
	3.7825	0.13000			7.2073
	3.7825	0.13000			7.2073
	3.7825	0.13000			7.2073
	3.7825	0.13000			7.2073
	3.7825	0.13000			7.2073
	3.7825	0.13000			7.2073
	3.7825	0.13000			7.2073
	3.7825	0.13000			7.2073
